iter	RMSE
0	24143.62093
1	23627.31587
2	23136.01978
3	22695.45135
4	22260.84796
5	21805.82524
6	21447.5584
7	21045.1859
8	20664.50393
9	20296.90612
10	19911.22184
11	19582.1278
12	19262.4463
13	18994.385
14	18682.55894
15	18392.05798
16	18137.11485
17	17887.42905
18	17652.16786
19	17418.96091
20	17189.91101
21	16976.46369
22	16763.9103
23	16557.30176
24	16367.81592
25	16159.12324
26	16003.42179
27	15864.54389
28	15707.47523
29	15570.22124
30	15440.83781
31	15298.32732
32	15140.43286
33	15004.14994
34	14843.97593
35	14718.4002
36	14577.88656
37	14447.88231
38	14315.89027
39	14209.13933
40	14099.79953
41	14011.94176
42	13867.25241
43	13759.77926
44	13632.42163
45	13520.64646
46	13442.7776
47	13361.82935
48	13319.35907
49	13208.41678
50	13138.78208
51	13075.20647
52	12998.22112
53	12904.0132
54	12842.11377
55	12746.43362
56	12667.92678
57	12606.15988
58	12547.60554
59	12465.71606
60	12392.55077
61	12342.33525
62	12269.83807
63	12210.04489
64	12141.69488
65	12077.58397
66	12010.31116
67	11959.09844
68	11889.83579
69	11854.25672
70	11813.25636
71	11771.80713
72	11718.34176
73	11660.78308
74	11621.15534
75	11600.63232
76	11575.17176
77	11531.43102
78	11505.26345
79	11469.76567
80	11433.82317
81	11390.69485
82	11359.67593
83	11316.09149
84	11281.77978
85	11243.63625
86	11209.70195
87	11181.52615
88	11156.12327
89	11130.39728
90	11096.7787
91	11060.37951
92	11026.04492
93	10994.82209
94	10956.79622
95	10926.29238
96	10896.23765
97	10876.65331
98	10850.3872
99	10824.49258
100	10802.55265
101	10788.17105
102	10764.00019
103	10733.01121
104	10713.13902
105	10682.11159
106	10654.39221
107	10623.90102
108	10598.76848
109	10577.03283
110	10544.92321
111	10519.3037
112	10493.48673
113	10459.35382
114	10425.17325
115	10399.97462
116	10384.21559
117	10366.59905
118	10338.94087
119	10316.61299
120	10295.55429
121	10271.71292
122	10247.32951
123	10223.06634
124	10200.99455
125	10179.03357
126	10157.84329
127	10144.56094
128	10122.21123
129	10107.43954
130	10090.99034
131	10068.32068
132	10040.79366
133	10019.478
134	9998.052639
135	9980.210885
136	9965.846304
137	9948.061951
138	9928.72994
139	9913.952383
140	9898.234462
141	9879.240569
142	9856.295744
143	9841.116825
144	9828.781106
145	9808.729046
146	9791.303902
147	9773.566877
148	9758.230437
149	9750.457668
150	9731.567965
151	9710.724164
152	9696.128219
153	9679.689532
154	9663.753418
155	9645.402065
156	9631.832345
157	9615.379484
158	9598.724624
159	9584.471047
160	9573.61589
161	9559.051917
162	9545.91843
163	9532.083112
164	9517.098319
165	9504.107191
166	9492.589893
167	9477.246874
168	9466.358172
169	9454.991719
170	9437.753327
171	9420.143249
172	9400.734619
173	9386.597521
174	9373.925442
175	9363.034703
176	9348.228901
177	9334.423961
178	9325.545684
179	9311.921117
180	9299.56369
181	9279.576623
